"date","artist","title","rank","peak_pos","last_week","weeks"
"2018-09-01","Ariana Grande","Pete Davidson",99,NA,"",NA
"2018-09-01","Nicki Minaj","Chun-Li",100,NA,"",NA
"2018-08-25","Nicki Minaj Featuring Lil Wayne","Rich Sex",56,41,"69",14
"2018-08-25","Nicki Minaj Featuring Eminem & Labrinth","Majesty",58,58,"66",7
"2018-08-25","Nicki Minaj","Ganja Burns",60,11,"61",20
"2018-08-25","Cardi B","Be Careful",64,68,"82",5
"2018-08-25","Travis Scott","Stop Trying To Be God",66,70,"81",5
"2018-08-25","Travis Scott","Can't Say",69,7,"65",12
"2018-08-25","Travis Scott","Wake Up",71,76,"79",2
"2018-08-25","Travis Scott","R.I.P Screw",75,18,"78",18
"2018-08-25","Travis Scott","No Bystanders",79,84,"87",2
"2018-08-25","Travis Scott","Carousel",81,86,"95",3
"2018-08-25","J. Cole","Album Of The Year (Freestyle)",87,90,"-",3
"2018-08-25","Travis Scott","5% Tint",89,13,"94",7
"2018-08-25","Jason Mraz","Have It All",90,67,"97",5
"2018-08-25","Dennis Lloyd","Nevermind",97,NA,"",NA
"2018-08-25","Nicki Minaj Featuring The Weeknd","Thought I Knew You",98,NA,"",NA
"2018-08-18","Travis Scott","NC-17",41,46,"46",7
"2018-08-18","Travis Scott","Who? What!",43,13,"38",17
"2018-08-18","Travis Scott","Skeletons",47,59,"59",3
"2018-08-18","Travis Scott","Astrothunder",48,60,"60",6
"2018-08-18","Travis Scott","Butterfly Effect",50,58,"58",6
"2018-08-18","Travis Scott","Houstonfornication",53,70,"77",4
"2018-08-18","Travis Scott","Coffee Bean",68,49,"73",20
"2018-08-18","H.E.R. Featuring Bryson Tiller","Could've Been",76,50,"51",7
"2018-08-18","Morgan Wallen Featuring Florida Georgia Line","Up Down",88,86,"99",4
"2018-08-18","Jake Owen","I Was Jack (You Were Diane)",91,70,"98",12
"2018-08-18","Keith Urban Featuring Julia Michaels","Coming Home",96,NA,"",NA
"2018-08-18","YG Featuring A$AP Rocky","Handgun",98,NA,"",NA
"2018-08-11","Imagine Dragons","Whatever It Takes",37,13,"39",16
"2018-08-11","BlocBoy JB Featuring Drake","Look Alive",40,36,"41",15
"2018-08-11","Demi Lovato","Sober",47,42,"44",20
"2018-08-11","Foster The People","Sit Next To Me",48,34,"48",20
"2018-08-11","Luke Combs","One Number Away",49,50,"59",5
"2018-08-11","Drake Featuring Michael Jackson","Don't Matter To Me",66,67,"71",5
"2018-08-11","TK Kravitz Featuring Jacqueez","Ocean",76,77,"82",3
"2018-08-11","Logic Featuring Ryan Tedder","One Day",80,81,"81",2
"2018-08-11","Lil Dicky Featuring Chris Brown","Freaky Friday",83,85,"87",4
"2018-08-11","A$AP Rocky Featuring Skepta","Praise The Lord (Da Shine)",84,86,"90",2
"2018-08-11","Post Malone Featuring Nicki Minaj","Ball For Me",89,71,"94",3
"2018-08-11","The Weeknd","Call Out My Name",95,94,"-",2
"2018-08-11","Kanye West","All Mine",96,NA,"",NA
"2018-08-11","Martin Garrix Featuring Khalid","Ocean",97,NA,"",NA
"2018-08-11","Queen Naija","Karma",98,NA,"",NA
"2018-08-04","Nicky Jam x J Balvin","X",47,49,"54",5
"2018-08-04","Chance The Rapper","I Might Need Security",60,63,"70",4
"2018-08-04","Billie Eilish","You Should See Me In A Crown",93,78,"85",5
"2018-08-04","Drake","Emotionless",99,NA,"",NA
"2018-08-04","Drake","Can't Take A Joke",100,NA,"",NA
"2018-07-28","Drake","Elevate",67,57,"97",12
"2018-07-28","Wiz Khalifa Featuring Lil Skies","Fr Fr",73,41,"56",3
"2018-07-28","Drake","Blue Tint",80,4,"95",16
"2018-07-28","Drake Featuring Static Major & Ty Dolla $ign","After Dark",82,54,"-",18
"2018-07-28","Halsey Featuring Big Sean & Stefflon Don","Alone",86,36,"93",11
"2018-07-28","David Lee Murphy & Kenny Chesney","Everything's Gonna Be Alright",89,45,"96",7
"2018-07-28","Bad Wolves","Zombie",97,NA,"",NA
"2018-07-28","Drake","8 Out Of 10",98,NA,"",NA
"2018-07-28","Future","31 Days",99,NA,"",NA
"2018-07-28","Drake Featuring JAY-Z","Talk Up",100,NA,"",NA
"2018-07-21","Future","Wifi Lit",53,49,"62",16
"2018-07-21","XXXTENTACION","Jocelyn Flores",62,28,"28",2
"2018-07-21","Drake","Sandra's Rose",63,66,"71",13
"2018-07-21","Drake","Summer Games",64,32,"32",2
"2018-07-21","Drake","Jaded",67,70,"79",6
"2018-07-21","Drake","That's How You Feel",68,8,"72",17
"2018-07-21","Drake","Survival",69,74,"76",2
"2018-07-21","Future","Cuddle My Wrist",71,77,"80",3
"2018-07-21","Meek Mill Featuring Swizz Beatz","Millidelphia",73,66,"73",12
"2018-07-21","Future","Racks Blue",76,10,"77",12
"2018-07-21","Drake","Finesse",78,86,"99",2
"2018-07-21","Lil Pump","Drug Addicts",83,78,"-",2
"2018-07-21","J. Cole","KOD",84,38,"38",2
"2018-07-21","Drake","Peak",93,78,"85",5
"2018-07-21","Juice WRLD","Legends",94,63,"-",2
"2018-07-21","Iggy Azalea Feauring Tyga","Kream",96,NA,"",NA
"2018-07-21","Drake","Is There More",100,NA,"",NA
"2018-07-14","Drake","Ratchet Happy Birthday",51,16,"59",10
"2018-07-14","Drake","Final Fantasy",56,80,"88",2
"2018-07-14","Drake","March 14",57,43,"67",3
"2018-07-14","Charlie Puth Featuring Kehlani","Done For Me",78,86,"99",2
"2018-07-14","Lil Pump","Esskeetit",88,97,"-",2
"2018-07-14","XXXTENTACION","Everybody Dies In Their Nightmares",91,8,"58",4
"2018-07-14","Kanye West","Yikes",92,18,"61",4
"2018-07-14","Sam Hunt","Downtown's Dead",94,63,"-",2
"2018-07-14","Famous Dex","Japan",96,NA,"",NA
"2018-07-14","Reik Featuring Ozuna & Wisin","Me Niego",97,NA,"",NA
"2018-07-14","XXXTENTACION","The Remedy For A Broken Heart (Why Am I So In Love)",98,NA,"",NA
"2018-07-14","Blake Shelton","I Lived It",100,NA,"",NA
"2018-07-07","Rich The Kid","Plug Walk",15,13,"32",20
"2018-07-07","Migos Featuring Drake","Walk It Talk It",29,10,"24",22
"2018-07-07","Post Malone Featuring 21 Savage","Rockstar",33,1,"31",41
"2018-07-07","XXXTENTACION Featuring Trippie Redd","Fuck Love",34,28,"28",21
"2018-07-07","Kane Brown","Heaven",38,15,"35",27
"2018-07-07","Camila Cabello Featuring Young Thug","Havana",39,1,"39",46
"2018-07-07","Dua Lipa","New Rules",40,6,"41",48
"2018-07-07","Maroon 5","Wait",50,24,"44",24
"2018-07-07","Daddy Yankee","Dura",57,43,"70",21
