date,year,title,artist,peak_pos,last_week,weeks,rank,change,spotifyLink,spotifyID,videoLink,genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2018-12-08,,Ring,Cardi B Featuring Kehlani,28,41,19,47,,spotify:track:5DfWF0jqMgZDCiu9zJENTA,5DfWF0jqMgZDCiu9zJENTA,,"[u'pop', u'rap']",https://api.spotify.com/v1/audio-analysis/5DfWF0jqMgZDCiu9zJENTA,0.543,0.115,106.029,0.103,0.049,0,4,0.767,1,177140,-7.881,0.485,0
2018-12-08,,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,48,51,15,48,,spotify:track:3lb5fWSG2p7x8ik8HN9oFR,3lb5fWSG2p7x8ik8HN9oFR,,"[u'hip hop', u'pop', u'pop rap', u'rap', u'trap music']",https://api.spotify.com/v1/audio-analysis/3lb5fWSG2p7x8ik8HN9oFR,0.493,0.0477,86.043,0.308,0.0467,0,4,0.734,0,233750,-7.528,0.562,1
2018-12-08,,Best Shot,Jimmie Allen,46,47,11,49,,spotify:track:3VamXAvVMczcS2PTYtPfBQ,3VamXAvVMczcS2PTYtPfBQ,,"[u'canadian contemporary country', u'contemporary country', u'lift kit']",https://api.spotify.com/v1/audio-analysis/3VamXAvVMczcS2PTYtPfBQ,0.464,0.0853,156.051,0.0334,0.75,0,4,0.629,4,195053,-8.72,0.523,1
2018-12-08,,Boo'd Up,Ella Mai,5,42,35,50,,spotify:track:0At2qAoaVjIwWNAqrscXli,0At2qAoaVjIwWNAqrscXli,,"[u'indie r&b', u'pop', u'r&b', u'uk contemporary r&b', u'urban contemporary']",https://api.spotify.com/v1/audio-analysis/0At2qAoaVjIwWNAqrscXli,0.779,0.078,81.965,0.0531,0.0862,0,4,0.561,10,256064,-5.107,0.235,0
2018-12-08,,Lie,NF,48,48,18,51,,spotify:track:07FkzikE6FuHIa8Ma7zJGc,07FkzikE6FuHIa8Ma7zJGc,,[u'hip hop'],https://api.spotify.com/v1/audio-analysis/07FkzikE6FuHIa8Ma7zJGc,0.66,0.236,95.003,0.133,0.161,0,4,0.753,5,209213,-6.542,0.182,1
2018-12-08,,When The Party's Over,Billie Eilish,52,52,6,52,,spotify:track:14JzyD6FlBD5z0wV5P07YI,14JzyD6FlBD5z0wV5P07YI,,"[u'dance pop', u'electropop', u'pop']",https://api.spotify.com/v1/audio-analysis/14JzyD6FlBD5z0wV5P07YI,0.104,0.0895,124.001,0.0621,0.979,7.86e-05,3,0.498,1,199931,-14.08,0.205,0
2018-12-08,,Drunk Me,Mitchell Tenpenny,53,55,16,53,,spotify:track:3N2AIfVOq6NiTcWHIP4Oco,3N2AIfVOq6NiTcWHIP4Oco,,"[u'canadian contemporary country', u'contemporary country', u'heartland rock', u'lift kit']",https://api.spotify.com/v1/audio-analysis/3N2AIfVOq6NiTcWHIP4Oco,0.799,0.103,86.333,0.0555,0.201,0,4,0.386,2,213024,-3.789,0.391,1
2018-12-08,,BAD!,XXXTENTACION,16,39,3,54,,spotify:track:4CH66Rxcjcj3VBHwmIBj4T,4CH66Rxcjcj3VBHwmIBj4T,,"[u'emo rap', u'miami hip hop']",https://api.spotify.com/v1/audio-analysis/4CH66Rxcjcj3VBHwmIBj4T,0.492,0.174,143.983,0.0671,0.0643,0.0313,4,0.78,5,94246,-3.4,0.374,0
2018-12-08,,Armed And Dangerous,Juice WRLD,44,53,3,55,,spotify:track:6SAKXCj5jyF6IgPCPbZ5ra,6SAKXCj5jyF6IgPCPbZ5ra,,"[u'rap', u'trap music']",https://api.spotify.com/v1/audio-analysis/6SAKXCj5jyF6IgPCPbZ5ra,0.67,0.114,130.032,0.311,0.186,0,4,0.736,10,169999,-6.702,0.845,1
2018-12-08,,Lost In Japan,Shawn Mendes X Zedd,48,54,10,56,,spotify:track:79esEXlqqmq0GPz0xQSZTV,79esEXlqqmq0GPz0xQSZTV,,"[u'canadian pop', u'dance pop', u'pop', u'post-teen pop', u'viral pop']",https://api.spotify.com/v1/audio-analysis/79esEXlqqmq0GPz0xQSZTV,0.738,0.106,105.027,0.374,0.255,0,4,0.713,10,201200,-6.784,0.425,1
